salesforce_sync_group,group_label,wordpress_field_key,wordpress_label,wordpress_source_path,wordpress_type,wordpress_domain,member_db_storage,member_db_table_or_source,member_db_admin_tab,default_salesforce_object_key,default_salesforce_object_label,default_salesforce_object_api_name,default_salesforce_external_id_field,default_salesforce_field_api_name,wordpress_to_salesforce_direction,salesforce_to_wordpress_supported,salesforce_to_wordpress_route,reverse_sync_notes,implementation_notes
contact,Contact,member_db_profile_account_info_guidebook_pref,"Member Database Profile: Account Info > Guidebook Pref",member_db.profile.account_info.guidebook_pref,string,member_db_profile_payload,"JSON snapshot in raw_profile",wp_aac_member_db_profiles.raw_profile,Preferences,contact,"Primary Contact",Contact,WordPress_User_ID__c,,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/contact","Inbound member matching uses wordpress_user_id, aac_external_key, or email.","No default Salesforce field mapping; available in connector for optional mapping."
contact,Contact,member_db_profile_account_info_last_name,"Member Database Profile: Account Info > Last Name",member_db.profile.account_info.last_name,string,member_db_profile_payload,"JSON snapshot in raw_profile",wp_aac_member_db_profiles.raw_profile,Profile,contact,"Primary Contact",Contact,WordPress_User_ID__c,LastName,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/contact","Inbound member matching uses wordpress_user_id, aac_external_key, or email.",
contact,Contact,member_db_profile_account_info_membership_discount_type,"Member Database Profile: Account Info > Membership Discount Type",member_db.profile.account_info.membership_discount_type,string,member_db_profile_payload,"JSON snapshot in raw_profile",wp_aac_member_db_profiles.raw_profile,Preferences,contact,"Primary Contact",Contact,WordPress_User_ID__c,,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/contact","Inbound member matching uses wordpress_user_id, aac_external_key, or email.","No default Salesforce field mapping; available in connector for optional mapping."
contact,Contact,member_db_profile_account_info_name,"Member Database Profile: Account Info > Name",member_db.profile.account_info.name,string,member_db_profile_payload,"JSON snapshot in raw_profile",wp_aac_member_db_profiles.raw_profile,Profile,contact,"Primary Contact",Contact,WordPress_User_ID__c,,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/contact","Inbound member matching uses wordpress_user_id, aac_external_key, or email.","No default Salesforce field mapping; available in connector for optional mapping."
contact,Contact,member_db_profile_account_info_payment_method,"Member Database Profile: Account Info > Payment Method",member_db.profile.account_info.payment_method,string,member_db_profile_payload,"JSON snapshot in raw_profile",wp_aac_member_db_profiles.raw_profile,Preferences,contact,"Primary Contact",Contact,WordPress_User_ID__c,,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/contact","Inbound member matching uses wordpress_user_id, aac_external_key, or email.","No default Salesforce field mapping; available in connector for optional mapping."
contact,Contact,member_db_profile_account_info_phone,"Member Database Profile: Account Info > Phone",member_db.profile.account_info.phone,string,member_db_profile_payload,"JSON snapshot in raw_profile",wp_aac_member_db_profiles.raw_profile,Profile,contact,"Primary Contact",Contact,WordPress_User_ID__c,Phone,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/contact","Inbound member matching uses wordpress_user_id, aac_external_key, or email.",
contact,Contact,member_db_profile_account_info_phone_type,"Member Database Profile: Account Info > Phone Type",member_db.profile.account_info.phone_type,string,member_db_profile_payload,"JSON snapshot in raw_profile",wp_aac_member_db_profiles.raw_profile,Profile,contact,"Primary Contact",Contact,WordPress_User_ID__c,,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/contact","Inbound member matching uses wordpress_user_id, aac_external_key, or email.","No default Salesforce field mapping; available in connector for optional mapping."
contact,Contact,member_db_profile_account_info_photo_url,"Member Database Profile: Account Info > Photo Url",member_db.profile.account_info.photo_url,url,member_db_profile_payload,"JSON snapshot in raw_profile",wp_aac_member_db_profiles.raw_profile,Profile,contact,"Primary Contact",Contact,WordPress_User_ID__c,,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/contact","Inbound member matching uses wordpress_user_id, aac_external_key, or email.","No default Salesforce field mapping; available in connector for optional mapping."
contact,Contact,member_db_profile_account_info_publication_pref,"Member Database Profile: Account Info > Publication Pref",member_db.profile.account_info.publication_pref,string,member_db_profile_payload,"JSON snapshot in raw_profile",wp_aac_member_db_profiles.raw_profile,Preferences,contact,"Primary Contact",Contact,WordPress_User_ID__c,,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/contact","Inbound member matching uses wordpress_user_id, aac_external_key, or email.","No default Salesforce field mapping; available in connector for optional mapping."
contact,Contact,member_db_profile_account_info_size,"Member Database Profile: Account Info > Size",member_db.profile.account_info.size,string,member_db_profile_payload,"JSON snapshot in raw_profile",wp_aac_member_db_profiles.raw_profile,Preferences,contact,"Primary Contact",Contact,WordPress_User_ID__c,,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/contact","Inbound member matching uses wordpress_user_id, aac_external_key, or email.","No default Salesforce field mapping; available in connector for optional mapping."
contact,Contact,member_db_profile_account_info_state,"Member Database Profile: Account Info > State",member_db.profile.account_info.state,string,member_db_profile_payload,"JSON snapshot in raw_profile",wp_aac_member_db_profiles.raw_profile,Profile,contact,"Primary Contact",Contact,WordPress_User_ID__c,MailingState,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/contact","Inbound member matching uses wordpress_user_id, aac_external_key, or email.",
contact,Contact,member_db_profile_account_info_street,"Member Database Profile: Account Info > Street",member_db.profile.account_info.street,string,member_db_profile_payload,"JSON snapshot in raw_profile",wp_aac_member_db_profiles.raw_profile,Profile,contact,"Primary Contact",Contact,WordPress_User_ID__c,MailingStreet,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/contact","Inbound member matching uses wordpress_user_id, aac_external_key, or email.",
contact,Contact,member_db_profile_account_info_zip,"Member Database Profile: Account Info > Zip",member_db.profile.account_info.zip,string,member_db_profile_payload,"JSON snapshot in raw_profile",wp_aac_member_db_profiles.raw_profile,Profile,contact,"Primary Contact",Contact,WordPress_User_ID__c,MailingPostalCode,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/contact","Inbound member matching uses wordpress_user_id, aac_external_key, or email.",
contact,Contact,member_db_profile_account_role,"Member Database Profile: Account Role",member_db.profile_row.account_role,string,member_db_profile_row,"Mirror table column",wp_aac_member_db_profiles,Profile,contact,"Primary Contact",Contact,WordPress_User_ID__c,AAC_Family_Account_Role__c,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/contact","Inbound member matching uses wordpress_user_id, aac_external_key, or email.",
contact,Contact,member_db_profile_benefits_info_medical_amount,"Member Database Profile: Benefits Info > Medical Amount",member_db.profile.benefits_info.medical_amount,decimal,member_db_profile_payload,"JSON snapshot in raw_profile",wp_aac_member_db_profiles.raw_profile,Preferences,contact,"Primary Contact",Contact,WordPress_User_ID__c,,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/contact","Inbound member matching uses wordpress_user_id, aac_external_key, or email.","No default Salesforce field mapping; available in connector for optional mapping."
contact,Contact,member_db_profile_benefits_info_mortal_remains_amount,"Member Database Profile: Benefits Info > Mortal Remains Amount",member_db.profile.benefits_info.mortal_remains_amount,decimal,member_db_profile_payload,"JSON snapshot in raw_profile",wp_aac_member_db_profiles.raw_profile,Preferences,contact,"Primary Contact",Contact,WordPress_User_ID__c,,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/contact","Inbound member matching uses wordpress_user_id, aac_external_key, or email.","No default Salesforce field mapping; available in connector for optional mapping."
contact,Contact,member_db_profile_benefits_info_rescue_amount,"Member Database Profile: Benefits Info > Rescue Amount",member_db.profile.benefits_info.rescue_amount,decimal,member_db_profile_payload,"JSON snapshot in raw_profile",wp_aac_member_db_profiles.raw_profile,Preferences,contact,"Primary Contact",Contact,WordPress_User_ID__c,,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/contact","Inbound member matching uses wordpress_user_id, aac_external_key, or email.","No default Salesforce field mapping; available in connector for optional mapping."
contact,Contact,member_db_profile_benefits_info_rescue_reimbursement_process,"Member Database Profile: Benefits Info > Rescue Reimbursement Process",member_db.profile.benefits_info.rescue_reimbursement_process,boolean,member_db_profile_payload,"JSON snapshot in raw_profile",wp_aac_member_db_profiles.raw_profile,Preferences,contact,"Primary Contact",Contact,WordPress_User_ID__c,,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/contact","Inbound member matching uses wordpress_user_id, aac_external_key, or email.","No default Salesforce field mapping; available in connector for optional mapping."
contact,Contact,member_db_profile_display_name,"Member Database Profile: Display Name",member_db.profile_row.display_name,string,member_db_profile_row,"Mirror table column",wp_aac_member_db_profiles,Profile,contact,"Primary Contact",Contact,WordPress_User_ID__c,,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/contact","Inbound member matching uses wordpress_user_id, aac_external_key, or email.","No default Salesforce field mapping; available in connector for optional mapping."
contact,Contact,member_db_profile_email,"Member Database Profile: Email",member_db.profile_row.email,email,member_db_profile_row,"Mirror table column",wp_aac_member_db_profiles,Profile,contact,"Primary Contact",Contact,WordPress_User_ID__c,,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/contact","Inbound member matching uses wordpress_user_id, aac_external_key, or email.","No default Salesforce field mapping; available in connector for optional mapping."
contact,Contact,member_db_profile_expiration_date,"Member Database Profile: Expiration Date",member_db.profile_row.expiration_date,date,member_db_profile_row,"Mirror table column",wp_aac_member_db_profiles,Profile,contact,"Primary Contact",Contact,WordPress_User_ID__c,,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/contact","Inbound member matching uses wordpress_user_id, aac_external_key, or email.","No default Salesforce field mapping; available in connector for optional mapping."
contact,Contact,member_db_profile_family_membership_additional_adult,"Member Database Profile: Family Membership > Additional Adult",member_db.profile.family_membership.additional_adult,boolean,member_db_profile_payload,"JSON snapshot in raw_profile",wp_aac_member_db_profiles.raw_profile,Preferences,contact,"Primary Contact",Contact,WordPress_User_ID__c,,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/contact","Inbound member matching uses wordpress_user_id, aac_external_key, or email.","No default Salesforce field mapping; available in connector for optional mapping."
contact,Contact,member_db_profile_family_membership_dependent_count,"Member Database Profile: Family Membership > Dependent Count",member_db.profile.family_membership.dependent_count,integer,member_db_profile_payload,"JSON snapshot in raw_profile",wp_aac_member_db_profiles.raw_profile,Preferences,contact,"Primary Contact",Contact,WordPress_User_ID__c,,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/contact","Inbound member matching uses wordpress_user_id, aac_external_key, or email.","No default Salesforce field mapping; available in connector for optional mapping."
contact,Contact,member_db_profile_family_membership_mode,"Member Database Profile: Family Membership > Mode",member_db.profile.family_membership.mode,string,member_db_profile_payload,"JSON snapshot in raw_profile",wp_aac_member_db_profiles.raw_profile,Preferences,contact,"Primary Contact",Contact,WordPress_User_ID__c,,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/contact","Inbound member matching uses wordpress_user_id, aac_external_key, or email.","No default Salesforce field mapping; available in connector for optional mapping."
contact,Contact,member_db_profile_linked_parent_account_name,"Member Database Profile: Linked Parent Account > Name",member_db.profile.linked_parent_account.name,string,member_db_profile_payload,"JSON snapshot in raw_profile",wp_aac_member_db_profiles.raw_profile,Preferences,contact,"Primary Contact",Contact,WordPress_User_ID__c,,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/contact","Inbound member matching uses wordpress_user_id, aac_external_key, or email.","No default Salesforce field mapping; available in connector for optional mapping."
contact,Contact,member_db_profile_member_id,"Member Database Profile: Member Id",member_db.profile_row.member_id,string,member_db_profile_row,"Mirror table column",wp_aac_member_db_profiles,Profile,contact,"Primary Contact",Contact,WordPress_User_ID__c,AAC_Member_ID__c,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/contact","Inbound member matching uses wordpress_user_id, aac_external_key, or email.",
contact,Contact,member_db_profile_membership_level,"Member Database Profile: Membership Level",member_db.profile_row.membership_level,string,member_db_profile_row,"Mirror table column",wp_aac_member_db_profiles,Profile,contact,"Primary Contact",Contact,WordPress_User_ID__c,,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/contact","Inbound member matching uses wordpress_user_id, aac_external_key, or email.","No default Salesforce field mapping; available in connector for optional mapping."
contact,Contact,member_db_profile_membership_status,"Member Database Profile: Membership Status",member_db.profile_row.membership_status,string,member_db_profile_row,"Mirror table column",wp_aac_member_db_profiles,Profile,contact,"Primary Contact",Contact,WordPress_User_ID__c,,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/contact","Inbound member matching uses wordpress_user_id, aac_external_key, or email.","No default Salesforce field mapping; available in connector for optional mapping."
contact,Contact,member_db_profile_profile_info_joined_date,"Member Database Profile: Profile Info > Joined Date",member_db.profile.profile_info.joined_date,date,member_db_profile_payload,"JSON snapshot in raw_profile",wp_aac_member_db_profiles.raw_profile,Profile,contact,"Primary Contact",Contact,WordPress_User_ID__c,,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/contact","Inbound member matching uses wordpress_user_id, aac_external_key, or email.","No default Salesforce field mapping; available in connector for optional mapping."
contact,Contact,member_db_profile_profile_info_member_id,"Member Database Profile: Profile Info > Member Id",member_db.profile.profile_info.member_id,string,member_db_profile_payload,"JSON snapshot in raw_profile",wp_aac_member_db_profiles.raw_profile,Profile,contact,"Primary Contact",Contact,WordPress_User_ID__c,,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/contact","Inbound member matching uses wordpress_user_id, aac_external_key, or email.","No default Salesforce field mapping; available in connector for optional mapping."
contact,Contact,member_db_profile_renewal_date,"Member Database Profile: Renewal Date",member_db.profile_row.renewal_date,date,member_db_profile_row,"Mirror table column",wp_aac_member_db_profiles,Profile,contact,"Primary Contact",Contact,WordPress_User_ID__c,,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/contact","Inbound member matching uses wordpress_user_id, aac_external_key, or email.","No default Salesforce field mapping; available in connector for optional mapping."
contact,Contact,member_db_profile_user_id,"Member Database Profile: User Id",member_db.profile_row.user_id,integer,member_db_profile_row,"Mirror table column",wp_aac_member_db_profiles,Profile,contact,"Primary Contact",Contact,WordPress_User_ID__c,WordPress_User_ID__c,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/contact","Inbound member matching uses wordpress_user_id, aac_external_key, or email.",
membership,"Membership Term",member_db_membership_record_billing_amount,"Member Database Membership Record: Billing Amount",member_db.membership_record.billing_amount,decimal,member_db_membership_history,"JSON snapshot in raw_record",wp_aac_member_db_history.raw_record,"Membership History",membership,"Primary Membership Term",Membership_Term__c,AAC_External_Key__c,,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/membership","Inbound member matching uses wordpress_user_id, aac_external_key, or email.","No default Salesforce field mapping; available in connector for optional mapping. Membership Term sync also uses the two newest mirrored history rows to populate Previous_Term__c and Superseded_By__c."
membership,"Membership Term",member_db_membership_record_billing_limit,"Member Database Membership Record: Billing Limit",member_db.membership_record.billing_limit,integer,member_db_membership_history,"JSON snapshot in raw_record",wp_aac_member_db_history.raw_record,"Membership History",membership,"Primary Membership Term",Membership_Term__c,AAC_External_Key__c,,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/membership","Inbound member matching uses wordpress_user_id, aac_external_key, or email.","No default Salesforce field mapping; available in connector for optional mapping. Membership Term sync also uses the two newest mirrored history rows to populate Previous_Term__c and Superseded_By__c."
membership,"Membership Term",member_db_membership_record_cycle_number,"Member Database Membership Record: Cycle Number",member_db.membership_record.cycle_number,integer,member_db_membership_history,"JSON snapshot in raw_record",wp_aac_member_db_history.raw_record,"Membership History",membership,"Primary Membership Term",Membership_Term__c,AAC_External_Key__c,,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/membership","Inbound member matching uses wordpress_user_id, aac_external_key, or email.","No default Salesforce field mapping; available in connector for optional mapping. Membership Term sync also uses the two newest mirrored history rows to populate Previous_Term__c and Superseded_By__c."
membership,"Membership Term",member_db_membership_record_cycle_period,"Member Database Membership Record: Cycle Period",member_db.membership_record.cycle_period,string,member_db_membership_history,"JSON snapshot in raw_record",wp_aac_member_db_history.raw_record,"Membership History",membership,"Primary Membership Term",Membership_Term__c,AAC_External_Key__c,,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/membership","Inbound member matching uses wordpress_user_id, aac_external_key, or email.","No default Salesforce field mapping; available in connector for optional mapping. Membership Term sync also uses the two newest mirrored history rows to populate Previous_Term__c and Superseded_By__c."
membership,"Membership Term",member_db_membership_record_enddate,"Member Database Membership Record: Enddate",member_db.membership_record.enddate,datetime,member_db_membership_history,"JSON snapshot in raw_record",wp_aac_member_db_history.raw_record,"Membership History",membership,"Primary Membership Term",Membership_Term__c,AAC_External_Key__c,,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/membership","Inbound member matching uses wordpress_user_id, aac_external_key, or email.","No default Salesforce field mapping; available in connector for optional mapping. Membership Term sync also uses the two newest mirrored history rows to populate Previous_Term__c and Superseded_By__c."
membership,"Membership Term",member_db_membership_record_id,"Member Database Membership Record: Id",member_db.membership_record.id,integer,member_db_membership_history,"JSON snapshot in raw_record",wp_aac_member_db_history.raw_record,"Membership History",membership,"Primary Membership Term",Membership_Term__c,AAC_External_Key__c,,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/membership","Inbound member matching uses wordpress_user_id, aac_external_key, or email.","No default Salesforce field mapping; available in connector for optional mapping. Membership Term sync also uses the two newest mirrored history rows to populate Previous_Term__c and Superseded_By__c."
membership,"Membership Term",member_db_membership_record_initial_payment,"Member Database Membership Record: Initial Payment",member_db.membership_record.initial_payment,decimal,member_db_membership_history,"JSON snapshot in raw_record",wp_aac_member_db_history.raw_record,"Membership History",membership,"Primary Membership Term",Membership_Term__c,AAC_External_Key__c,,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/membership","Inbound member matching uses wordpress_user_id, aac_external_key, or email.","No default Salesforce field mapping; available in connector for optional mapping. Membership Term sync also uses the two newest mirrored history rows to populate Previous_Term__c and Superseded_By__c."
membership,"Membership Term",member_db_membership_record_membership_id,"Member Database Membership Record: Membership Id",member_db.membership_record.membership_id,integer,member_db_membership_history,"JSON snapshot in raw_record",wp_aac_member_db_history.raw_record,"Membership History",membership,"Primary Membership Term",Membership_Term__c,AAC_External_Key__c,PMPro_Level_ID__c,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/membership","Inbound member matching uses wordpress_user_id, aac_external_key, or email.","Membership Term sync also uses the two newest mirrored history rows to populate Previous_Term__c and Superseded_By__c."
membership,"Membership Term",member_db_membership_record_modified,"Member Database Membership Record: Modified",member_db.membership_record.modified,datetime,member_db_membership_history,"JSON snapshot in raw_record",wp_aac_member_db_history.raw_record,"Membership History",membership,"Primary Membership Term",Membership_Term__c,AAC_External_Key__c,,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/membership","Inbound member matching uses wordpress_user_id, aac_external_key, or email.","No default Salesforce field mapping; available in connector for optional mapping. Membership Term sync also uses the two newest mirrored history rows to populate Previous_Term__c and Superseded_By__c."
membership,"Membership Term",member_db_membership_record_startdate,"Member Database Membership Record: Startdate",member_db.membership_record.startdate,datetime,member_db_membership_history,"JSON snapshot in raw_record",wp_aac_member_db_history.raw_record,"Membership History",membership,"Primary Membership Term",Membership_Term__c,AAC_External_Key__c,Start_Date__c,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/membership","Inbound member matching uses wordpress_user_id, aac_external_key, or email.","Membership Term sync also uses the two newest mirrored history rows to populate Previous_Term__c and Superseded_By__c."
membership,"Membership Term",member_db_membership_record_status,"Member Database Membership Record: Status",member_db.membership_record.status,string,member_db_membership_history,"JSON snapshot in raw_record",wp_aac_member_db_history.raw_record,"Membership History",membership,"Primary Membership Term",Membership_Term__c,AAC_External_Key__c,,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/membership","Inbound member matching uses wordpress_user_id, aac_external_key, or email.","No default Salesforce field mapping; available in connector for optional mapping. Membership Term sync also uses the two newest mirrored history rows to populate Previous_Term__c and Superseded_By__c."
membership,"Membership Term",member_db_membership_record_trial_amount,"Member Database Membership Record: Trial Amount",member_db.membership_record.trial_amount,decimal,member_db_membership_history,"JSON snapshot in raw_record",wp_aac_member_db_history.raw_record,"Membership History",membership,"Primary Membership Term",Membership_Term__c,AAC_External_Key__c,,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/membership","Inbound member matching uses wordpress_user_id, aac_external_key, or email.","No default Salesforce field mapping; available in connector for optional mapping. Membership Term sync also uses the two newest mirrored history rows to populate Previous_Term__c and Superseded_By__c."
